ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
26890,2019,,Male,nopre,type2,p3,l1,nopc,b/c,306500,4.25,0.8946,621.74,360.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,5220.0,EXP,881,CIB,25-34,not_inst,78.99484536,south,direct,0,40.0
26891,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,406500,4.25,-0.3229,127.16,360.0,not_neg,not_int,not_lpsm,518000.0,sb,pr,home,1U,8700.0,CIB,509,EXP,25-34,not_inst,78.47490347,south,direct,0,21.0
26892,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,126500,,,,300.0,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,2160.0,CIB,535,CIB,55-64,to_inst,75.29761905,south,direct,1,55.0
26893,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,206500,3.375,0.465,3900.0,180.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,3780.0,CRIF,554,CIB,25-34,to_inst,74.28057554,central,direct,0,47.0
26894,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,206500,3.625,0.0971,0.0,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,3480.0,CRIF,523,EXP,65-74,not_inst,59.33908046,North,direct,0,31.0
26895,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,726500,4.5,0.9617,19250.0,360.0,not_neg,not_int,not_lpsm,1308000.0,sb,pr,home,1U,11100.0,CIB,536,CIB,>74,to_inst,55.54281346,North,direct,0,47.0
26896,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,106500,4.99,0.7139,1215.0,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,2100.0,CRIF,666,EXP,>74,to_inst,77.17391304,south,direct,0,43.0
26897,2019,ncf,Male,nopre,type3,p4,l1,nopc,nob/c,766500,3.625,-0.3503,,360.0,not_neg,not_int,not_lpsm,928000.0,sb,pr,home,1U,,CRIF,829,CIB,45-54,not_inst,82.59698276,North,direct,0,
26898,2019,,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,436500,4.25,0.1891,0.0,360.0,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1U,4380.0,CIB,828,EXP,35-44,not_inst,89.44672131,south,direct,0,47.0
26899,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,386500,3.625,0.0143,537.28,360.0,not_neg,not_int,not_lpsm,618000.0,sb,pr,home,1U,7560.0,EXP,883,EXP,35-44,not_inst,62.54045307,south,direct,0,37.0
26900,2019,ncf,Male,pre,type1,p3,l1,nopc,nob/c,236500,,,,240.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,3600.0,CRIF,617,CIB,65-74,to_inst,41.63732394,south,direct,1,31.0
26901,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,276500,3.99,0.4282,,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,6180.0,CIB,594,CIB,55-64,not_inst,39.05367232,south,direct,0,24.0
26902,2019,cf,Joint,pre,type1,p4,l1,nopc,nob/c,716500,4.25,0.486,950.0,360.0,not_neg,not_int,not_lpsm,1048000.0,sb,pr,home,1U,14520.0,EXP,629,EXP,35-44,not_inst,68.36832061,south,direct,0,43.0
26903,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,366500,,,,360.0,not_neg,not_int,lpsm,,sb,pr,home,1U,6180.0,EQUI,779,EXP,45-54,to_inst,,North,direct,1,
26904,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,296500,3.625,0.7596,3985.81,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,4980.0,CIB,638,CIB,45-54,to_inst,64.73799127,North,direct,0,43.0
26905,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,686500,4.0,-0.2891,2546.6,360.0,not_neg,not_int,not_lpsm,1608000.0,sb,pr,home,1U,7800.0,EXP,630,EXP,35-44,not_inst,42.69278607,south,direct,0,45.0
26906,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,396500,4.25,0.9469,3439.38,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,9420.0,CIB,816,EXP,35-44,to_inst,94.85645933,North,direct,0,45.0
26907,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,456500,3.625,0.3121,14771.75,240.0,not_neg,not_int,not_lpsm,538000.0,sb,sr,home,1U,10500.0,EXP,554,CIB,55-64,to_inst,84.85130112,North,direct,0,43.0
26908,2019,cf,Sex Not Available,pre,type1,p2,l1,nopc,nob/c,126500,4.625,1.344,3828.0,360.0,not_neg,not_int,not_lpsm,248000.0,sb,ir,home,1U,4980.0,CIB,559,CIB,45-54,to_inst,51.00806452,south,direct,0,32.0
26909,2019,cf,Joint,nopre,type3,p4,l1,nopc,nob/c,346500,2.75,-0.758,3858.47,360.0,not_neg,not_int,not_lpsm,748000.0,sb,pr,home,1U,,EXP,522,EXP,65-74,to_inst,46.32352941,North,direct,0,
26910,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,176500,3.99,0.4884,3170.38,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,2100.0,CIB,854,CIB,45-54,to_inst,29.02960526,south,direct,0,39.0
26911,2019,cf,Joint,nopre,type3,p1,l1,nopc,nob/c,626500,3.99,0.529,0.0,360.0,not_neg,int_only,not_lpsm,618000.0,sb,pr,home,1U,12600.0,CIB,647,EXP,35-44,not_inst,101.3754045,central,direct,0,41.0
26912,2019,cf,Female,nopre,type3,p4,l1,nopc,nob/c,506500,,,,360.0,not_neg,not_int,lpsm,,sb,pr,home,1U,4860.0,EQUI,824,EXP,25-34,not_inst,,North,direct,1,
26913,2019,ncf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,96500,,,,240.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2160.0,EQUI,687,EXP,35-44,to_inst,,south,direct,1,
26914,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,486500,3.625,0.0076,0.0,360.0,not_neg,int_only,not_lpsm,618000.0,sb,pr,home,1U,9300.0,EXP,786,CIB,35-44,not_inst,78.72168285,south,direct,0,26.0
26915,2019,cf,Male,nopre,type3,p1,l1,nopc,nob/c,306500,3.125,-0.3053,1327.1,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,3540.0,EXP,502,CIB,25-34,not_inst,99.51298701,south,direct,0,53.0
26916,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,296500,4.25,0.5434,4848.13,360.0,neg_amm,not_int,not_lpsm,308000.0,sb,pr,home,1U,3540.0,CRIF,631,CIB,25-34,to_inst,96.26623377,North,direct,0,42.0
26917,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,76500,5.19,1.3726,1593.75,360.0,not_neg,not_int,not_lpsm,98000.0,sb,pr,home,1U,1140.0,CRIF,855,CIB,65-74,to_inst,78.06122449,North,direct,0,37.0
26918,2019,cf,Sex Not Available,pre,type2,p3,l1,nopc,b/c,186500,4.625,0.9618,464.11,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,2280.0,EXP,801,CIB,35-44,to_inst,85.55045872,south,direct,0,58.0
26919,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,416500,4.375,0.323,5272.0,360.0,neg_amm,not_int,not_lpsm,458000.0,sb,pr,home,1U,6000.0,CIB,853,CIB,45-54,to_inst,90.93886463,North,direct,0,37.0
26920,2019,cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,206500,3.125,-0.5589,1828.49,300.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,,EXP,554,EXP,55-64,to_inst,80.03875969,south,direct,0,
26921,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,126500,,,,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,3180.0,CIB,747,EXP,25-34,to_inst,91.66666667,south,direct,1,36.0
26922,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,126500,4.25,0.8905,3577.5,312.0,not_neg,int_only,not_lpsm,228000.0,sb,pr,home,1U,2400.0,CIB,643,CIB,45-54,to_inst,55.48245614,North,direct,0,44.0
26923,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,256500,,,,360.0,neg_amm,not_int,not_lpsm,328000.0,sb,pr,home,1U,4560.0,CIB,767,CIB,55-64,to_inst,78.20121951,south,direct,1,42.0
26924,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,226500,3.99,1.0017,2374.0,180.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,7560.0,CIB,749,CIB,55-64,to_inst,78.64583333,south,direct,0,20.0
26925,2019,cf,Joint,nopre,type3,p1,l1,nopc,nob/c,366500,3.25,-0.518,0.0,360.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1U,8760.0,CRIF,729,EXP,55-64,not_inst,99.5923913,North,direct,0,30.0
26926,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,486500,4.75,1.2087,1250.0,360.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,13560.0,EXP,863,CIB,45-54,to_inst,82.73809524,south,direct,0,28.0
26927,2019,cf,Female,pre,type1,p1,l1,nopc,nob/c,656500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,10500.0,EQUI,556,EXP,35-44,not_inst,,North,direct,1,
26928,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,596500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7500.0,EQUI,685,EXP,25-34,not_inst,,south,direct,1,
26929,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,726500,3.625,-0.0061,2716.95,360.0,not_neg,not_int,not_lpsm,2078000.0,sb,pr,home,1U,16740.0,CIB,581,EXP,55-64,not_inst,34.96150144,south,direct,0,37.0
26930,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,436500,3.99,0.4209,7721.55,360.0,not_neg,not_int,not_lpsm,588000.0,sb,ir,home,1U,17220.0,CRIF,638,EXP,45-54,not_inst,74.23469388,North,direct,0,33.0
26931,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,256500,4.99,0.6573,1829.21,360.0,not_neg,not_int,not_lpsm,378000.0,sb,ir,home,1U,6000.0,EXP,737,EXP,45-54,not_inst,67.85714286,North,direct,0,44.0
26932,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,326500,3.625,0.033,4000.0,336.0,not_neg,not_int,not_lpsm,518000.0,sb,pr,home,1U,5880.0,EXP,721,EXP,35-44,not_inst,63.03088803,North,direct,0,44.0
26933,2019,cf,Female,pre,type1,p1,l1,nopc,nob/c,316500,4.375,0.3463,7491.89,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,4800.0,CIB,831,CIB,35-44,not_inst,96.49390244,North,direct,0,40.0
26934,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,456500,3.75,0.9874,6406.42,360.0,not_neg,not_int,not_lpsm,538000.0,sb,pr,home,1U,5040.0,CRIF,874,CIB,55-64,to_inst,84.85130112,North,direct,0,50.0
26935,2019,cf,Joint,nopre,type2,p3,l1,nopc,b/c,416500,,,,324.0,neg_amm,not_int,not_lpsm,488000.0,sb,pr,home,1U,7200.0,CRIF,834,EXP,25-34,to_inst,85.34836066,central,direct,1,43.0
26936,2019,ncf,Female,nopre,type1,p3,l1,nopc,nob/c,116500,4.99,1.0774,2400.0,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,4020.0,CRIF,622,EXP,65-74,to_inst,53.44036697,North,direct,0,15.0
26937,2019,ncf,Joint,pre,type1,p1,l1,nopc,nob/c,646500,4.25,0.1192,16.6,360.0,not_neg,not_int,not_lpsm,808000.0,sb,sr,home,1U,8340.0,CIB,585,EXP,65-74,not_inst,80.01237624,central,direct,0,45.0
26938,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,316500,3.99,0.6367,3993.33,240.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,13200.0,CIB,588,CIB,45-54,to_inst,72.26027397,North,direct,0,20.0
26939,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,406500,2.99,0.0114,6964.34,360.0,not_neg,not_int,not_lpsm,538000.0,sb,pr,home,1U,3780.0,CIB,634,CIB,55-64,to_inst,75.55762082,North,direct,0,53.0
26940,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,386500,3.99,1.4974,11964.0,180.0,not_neg,not_int,not_lpsm,488000.0,sb,ir,home,1U,22740.0,CIB,734,EXP,65-74,to_inst,79.20081967,North,direct,0,24.0
